2 0.656651 0.656651 2 1 0
1.62464 0.794094 0.794094 1 1 0
1.42842 0.893438 0.893438 1 1 0
1.22692 1.02723 1.02723 1 1 0
1.03034 1.20637 1.20637 1 1 0
0.852029 1.43807 1.43807 1 1 0
0.701848 1.72204 1.72204 1 1 0
0.581352 2.05349 2.05349 1 1 0
0.486362 2.42808 2.42808 1 1 0
0.411342 2.84251 2.84251 1 1 0
0.351056 3.28873 3.28873 1 1 0
0.297583 3.71464 3.71464 1 1 0
0.219011 4.01863 4.01863 1 1 0
0.0981529 4.19406 4.19406 1 1 0
0.0941192 4.19844 4.19844 2 1 0
-0.00380523 4.30205 4.30205 2 1 0
0.0941112 4.19844 4.19844 4 2 0
0.093202 4.45253 3.94548 3 2 0
0.0931934 4.4537 3.94432 3 2 0
0.0831224 5.09244 3.32375 3 2 0
0.0646619 5.7289 2.7412 3 2 0
0.0440369 6.31257 2.2361 3 2 0
0.026522 6.79016 1.82404 3 2 0
0.0131105 7.16444 1.48668 3 2 0
0.0029038 7.45385 1.2032 3 2 0
-0.00501133 7.6783 0.960988 3 2 0
