0.25	2.33563	2.33563	2	1	0
0.24765	2.35528	2.35528	1	1	0
0.245342	2.37493	2.37493	1	1	0
0.240849	2.41422	2.41422	1	1	0
0.232327	2.49275	2.49275	1	1	0
0.222467	2.59077	2.59077	1	1	0
0.213392	2.68857	2.68857	1	1	0
0.205014	2.78604	2.78604	1	1	0
0.197253	2.88309	2.88309	1	1	0
0.190038	2.97956	2.97956	1	1	0
0.183303	3.07528	3.07528	1	1	0
0.176983	3.17001	3.17001	1	1	0
0.171009	3.26344	3.26344	1	1	0
0.165305	3.35519	3.35519	1	1	0
0.159775	3.44475	3.44475	1	1	0
0.154294	3.53152	3.53152	1	1	0
0.148698	3.6148	3.6148	1	1	0
0.142772	3.69383	3.69383	1	1	0
0.136245	3.76788	3.76788	1	1	0
0.128808	3.83638	3.83638	1	1	0
0.120151	3.89895	3.89895	1	1	0
0.110021	3.95553	3.95553	1	1	0
0.0982953	4.00629	4.00629	1	1	0
0.0850324	4.05162	4.05162	1	1	0
0.0704858	4.09204	4.09204	1	1	0
0.0550734	4.12809	4.12809	1	1	0
0.0393089	4.16032	4.16032	1	1	0
0.0336772	4.17104	4.17104	1	1	0
-0.00987069	4.24667	4.24667	2	1	0
0.0336772	4.17104	4.17104	4	2	0
0.0336702	4.18325	4.15884	3	2	0
0.03367	4.1838	4.15829	3	2	0
0.0336185	4.23259	4.10942	3	2	0
0.0334146	4.30566	4.03603	3	2	0
0.032827	4.41499	3.92585	3	2	0
0.0317866	4.53598	3.80342	3	2	0
0.0303567	4.65637	3.68128	3	2	0
0.0285637	4.77603	3.55977	3	2	0
0.0264418	4.89481	3.43927	3	2	0
0.0240328	5.01244	3.32021	3	2	0
0.0213855	5.12859	3.20307	3	2	0
0.0185535	5.24287	3.08831	3	2	0
0.0155933	5.35475	2.97637	3	2	0
0.012561	5.46374	2.86762	3	2	0
0.00950885	5.5693	2.76234	3	2	0
0.00648289	5.671	2.66072	3	2	0
0.00352084	5.76847	2.56284	3	2	0
0.000651513	5.8615	2.46865	3	2	0
-0.00210489	5.94994	2.37808	3	2	0
