,specie,light,mean,sem
0,Latrodectus  mactans,LD,23.89909090909091,0.9755413839174315
1,Parasteatoda  tepidariorum,LD,24.03411764705883,0.5077291870038988
2,Anelosimus studiosus,LD,23.62,0.0
3,Metazygia wittfeldae,LD,23.316354818947364,0.6519582274988035
4,Latrodectus  mactans,DD,23.574545454545447,5.344228600915475
5,Parasteatoda  tepidariorum,DD,21.816470588235298,1.092907300177836
6,Anelosimus studiosus,DD,23.224999999999998,1.9401804039830934
7,Metazygia wittfeldae,DD,21.493384641750005,2.3068534796929856
