,ks,periods
18,0.8300000000000006,18.00150012501041
19,0.7100000000000005,19.021585132094344
20,0.6150000000000004,20.00166680556712
21,0.5350000000000004,21.001750145845477
22,0.4700000000000003,21.97683140261688
23,0.41000000000000025,23.026918909909156
24,0.3650000000000002,23.95199599966665
25,0.3200000000000002,24.977081423451963
26,0.28000000000000014,26.002166847237277
27,0.24500000000000013,26.977248104008666
28,0.2100000000000001,28.052337694807914
29,0.18000000000000008,29.002416868072334
30,0.15000000000000005,29.935827985665487
