Date-Time,Light,Monitor 1 Spider 1,Monitor 1 Spider 3,Monitor 1 Spider 4,Monitor 1 Spider 5,Monitor 1 Spider 6,Monitor 1 Spider 7,Monitor 1 Spider 8,Monitor 1 Spider 10
2017-08-12 00:00:00,0,0.0,0,0,0,0,0,0,25
2017-08-12 00:01:00,0,0.0,4,3,0,0,0,0,9
2017-08-12 00:02:00,0,10.0,2,0,0,4,0,0,0
2017-08-12 00:03:00,0,10.0,0,7,0,4,0,0,10
2017-08-12 00:04:00,0,9.0,0,4,0,3,0,0,4
2017-08-12 00:05:00,0,14.0,6,2,0,2,0,0,7
2017-08-12 00:06:00,0,11.0,0,4,0,5,0,0,16
2017-08-12 00:07:00,0,12.0,3,0,0,2,0,0,10
2017-08-12 00:08:00,0,11.0,0,0,0,3,0,0,4
2017-08-12 00:09:00,0,3.0,4,0,0,5,0,0,0
2017-08-12 00:10:00,0,0.0,0,0,0,5,0,0,0
2017-08-12 00:11:00,0,21.0,0,0,0,2,0,0,0
2017-08-12 00:12:00,0,7.0,4,0,0,5,9,0,0
2017-08-12 00:13:00,0,0.0,3,0,0,3,0,0,0
2017-08-12 00:14:00,0,0.0,0,4,0,0,5,0,0
2017-08-12 00:15:00,0,0.0,0,1,0,4,0,0,0
2017-08-12 00:16:00,0,0.0,0,3,0,0,0,0,0
2017-08-12 00:17:00,0,0.0,0,1,0,0,0,0,0
2017-08-12 00:18:00,0,0.0,0,1,0,0,0,0,0
2017-08-12 00:19:00,0,0.0,0,7,0,0,4,0,0
2017-08-12 00:20:00,0,0.0,0,0,0,0,8,0,0
2017-08-12 00:21:00,0,0.0,2,5,0,0,3,0,0
2017-08-12 00:22:00,0,0.0,0,3,0,0,0,0,0
2017-08-12 00:23:00,0,0.0,0,4,0,0,4,8,0
2017-08-12 00:24:00,0,0.0,0,5,0,0,0,3,0
2017-08-12 00:25:00,0,0.0,0,0,0,0,4,2,0
2017-08-12 00:26:00,0,0.0,0,3,14,0,8,0,0
2017-08-12 00:27:00,0,0.0,0,9,0,0,4,0,0
2017-08-12 00:28:00,0,0.0,0,0,0,0,7,4,0
2017-08-12 00:29:00,0,10.0,0,7,0,0,3,5,0
2017-08-12 00:30:00,0,13.0,0,0,0,0,6,5,0
2017-08-12 00:31:00,0,12.0,0,0,0,0,0,6,0
2017-08-12 00:32:00,0,13.0,0,1,0,3,0,0,0
2017-08-12 00:33:00,0,10.0,0,6,0,13,0,6,0
2017-08-12 00:34:00,0,0.0,0,0,0,0,0,0,0
2017-08-12 00:35:00,0,8.0,0,2,0,0,0,0,0
2017-08-12 00:36:00,0,0.0,0,0,0,0,0,0,0
2017-08-12 00:37:00,0,0.0,0,2,0,0,44,4,0
2017-08-12 00:38:00,0,0.0,0,0,0,0,0,1,0
2017-08-12 00:39:00,0,0.0,0,1,0,0,13,15,0
2017-08-12 00:40:00,0,0.0,0,4,0,0,0,0,0
2017-08-12 00:41:00,0,0.0,0,0,0,0,0,0,0
2017-08-12 00:42:00,0,0.0,0,2,0,0,1,0,0
2017-08-12 00:43:00,0,0.0,0,7,0,0,0,0,0
2017-08-12 00:44:00,0,0.0,0,0,0,0,0,0,0
2017-08-12 00:45:00,0,7.0,0,0,0,0,0,4,0
2017-08-12 00:46:00,0,0.0,0,0,0,0,0,0,0
2017-08-12 00:47:00,0,0.0,0,0,0,0,0,2,0
2017-08-12 00:48:00,0,0.0,0,3,0,0,0,0,0
2017-08-12 00:49:00,0,0.0,0,1,0,0,0,11,0
2017-08-12 00:50:00,0,0.0,0,0,0,0,0,6,0
2017-08-12 00:51:00,0,0.0,0,0,0,0,0,0,0
2017-08-12 00:52:00,0,0.0,0,4,0,0,0,10,0
2017-08-12 00:53:00,0,0.0,0,1,0,0,0,0,0
2017-08-12 00:54:00,0,0.0,0,0,0,0,0,2,0
2017-08-12 00:55:00,0,0.0,0,0,0,0,0,0,0
2017-08-12 00:56:00,0,0.0,0,3,0,0,0,0,0
2017-08-12 00:57:00,0,0.0,0,3,0,0,0,22,0
2017-08-12 00:58:00,0,0.0,0,0,0,0,0,0,0
2017-08-12 00:59:00,0,0.0,0,0,0,0,0,5,0
2017-08-12 01:00:00,0,0.0,0,0,0,0,0,0,0
2017-08-12 01:01:00,0,0.0,0,0,0,0,0,0,0
2017-08-12 01:02:00,0,0.0,0,0,0,0,0,0,0
2017-08-12 01:03:00,0,0.0,8,0,0,0,0,0,0
2017-08-12 01:04:00,0,0.0,4,0,0,0,0,6,0
2017-08-12 01:05:00,0,0.0,10,0,0,0,0,4,0
2017-08-12 01:06:00,0,0.0,18,0,0,0,0,0,0
2017-08-12 01:07:00,0,0.0,3,0,0,0,0,11,0
2017-08-12 01:08:00,0,0.0,0,0,0,0,0,0,0
2017-08-12 01:09:00,0,0.0,6,0,0,0,0,0,0
2017-08-12 01:10:00,0,0.0,3,8,0,0,0,3,0
2017-08-12 01:11:00,0,0.0,0,6,0,0,0,0,0
2017-08-12 01:12:00,0,0.0,0,1,0,0,0,0,0
2017-08-12 01:13:00,0,0.0,0,3,0,0,0,0,0
2017-08-12 01:14:00,0,0.0,10,9,0,0,0,3,0
2017-08-12 01:15:00,0,0.0,2,4,0,0,0,16,0
2017-08-12 01:16:00,0,0.0,2,3,0,0,0,2,0
2017-08-12 01:17:00,0,0.0,0,3,0,0,0,21,0
2017-08-12 01:18:00,0,0.0,0,0,0,0,0,0,0
2017-08-12 01:19:00,0,0.0,6,4,0,0,0,11,0
2017-08-12 01:20:00,0,0.0,9,0,0,0,0,27,0
2017-08-12 01:21:00,0,0.0,2,0,0,0,0,2,0
2017-08-12 01:22:00,0,0.0,8,0,0,0,0,0,0
2017-08-12 01:23:00,0,0.0,2,1,0,0,0,4,0
2017-08-12 01:24:00,0,0.0,8,5,0,0,0,0,0
2017-08-12 01:25:00,0,0.0,9,7,0,0,0,0,0
