ks,period
0.11,29.433333333333337
0.12,28.233333333333334
0.13,27.200000000000003
0.14,26.26666666666667
0.15,25.516666666666666
0.16,24.983333333333334
0.16999999999999998,24.666666666666668
0.18,24.433333333333337
0.19,24.2
0.2,23.96666666666667
0.21000000000000002,23.73333333333333
0.22,23.533333333333335
0.22999999999999998,23.3
0.24,23.083333333333332
0.25,22.850000000000005
0.26,22.650000000000002
0.27,22.433333333333337
0.28,22.25000000000001
0.29,22.05
0.3,21.850000000000005
0.31,21.66666666666667
0.32,21.5
0.33,21.300000000000004
0.34,21.13333333333334
0.35,20.950000000000003
0.36,20.799999999999997
0.37,20.616666666666664
0.38,20.450000000000006
0.39,20.299999999999997
0.39999999999999997,20.150000000000006
0.41,20.000000000000004
0.42,19.850000000000005
0.43,19.71666666666667
0.44,19.566666666666666
0.45,19.433333333333334
0.46,19.3
0.47,19.166666666666668
0.48,19.033333333333335
0.49,18.916666666666668
0.5,18.8
0.51,18.683333333333337
0.52,18.550000000000008
0.53,18.433333333333337
0.54,18.316666666666666
0.55,18.216666666666665
0.56,18.08333333333334
0.5700000000000001,18.0
0.5800000000000001,17.88333333333333
0.59,17.78333333333333
0.6,17.683333333333337
0.61,17.60000000000001
0.62,17.5
0.63,17.38333333333334
0.64,17.300000000000008
0.65,17.200000000000003
0.66,17.11666666666667
0.67,17.033333333333335
0.68,16.950000000000003
0.69,16.866666666666664
0.7,16.783333333333335
0.71,16.700000000000003
0.72,16.633333333333336
0.73,16.549999999999997
0.74,16.483333333333338
0.75,16.383333333333336
0.76,16.316666666666666
0.77,16.233333333333345
0.78,16.183333333333334
0.79,16.099999999999994
0.8,16.033333333333335
0.81,15.950000000000003
0.82,15.900000000000006
0.83,15.849999999999994
0.84,15.78333333333334
0.85,15.700000000000003
0.86,15.650000000000006
0.87,15.583333333333329
0.88,15.533333333333331
0.89,15.450000000000003
0.9,15.416666666666671
0.91,15.350000000000003
0.92,15.300000000000002
0.93,15.233333333333334
0.9400000000000001,15.200000000000003
0.95,15.116666666666665
0.96,15.083333333333337
0.97,15.033333333333331
0.98,15.0
0.99,14.916666666666671
1.0,14.866666666666669
